user_id,title,rating,original_publication_year,average_rating
588,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5,2005,4.54
588,Atlas Shrugged,4,1957,3.68
588,The Brooklyn Follies,4,2005,3.81
588,The Phantom Tollbooth,4,1961,4.22
588,"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)",3,2003,4.77
588,One Hundred Years of Solitude,3,1967,4.04
588,The Portrait of a Lady,4,1881,3.76
588,Tropic of Cancer,4,1934,3.71
588,I am Charlotte Simmons,2,2004,3.4
588,"The Power of One (The Power of One, #1)",5,1989,4.34
588,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",4,1979,4.2
588,Children of Dune (Dune Chronicles #3),3,1976,3.9
588,The Known World,4,2003,3.82
588,"Hatchet (Brian's Saga, #1)",3,1986,3.68
588,"The Lord of the Rings (The Lord of the Rings, #1-3)",3,1955,4.47
588,A Short History of Nearly Everything,4,2003,4.19
588,The Mother Tongue: English and How It Got That Way,3,1990,3.95
588,Neither Here nor There: Travels in Europe,4,1991,3.88
1169,Think and Grow Rich: The Landmark Bestseller - Now Revised and Updated for the 21st Century,3,1937,4.17
1169,The Lost Continent: Travels in Small Town America,1,1989,3.83
1169,Another Bullshit Night in Suck City,3,2004,3.77
1169,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",3,2003,4.46
1169,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",4,1979,4.2
1169,The Lord of the Rings: Weapons and Warfare,5,,4.53
1169,Time Enough for Love,3,1973,3.96
1169,The Automatic Millionaire: A Powerful One-Step Plan to Live and Finish Rich,4,2003,3.9
1169,Darwin's Dangerous Idea: Evolution and the Meanings of Life,5,1995,4.03
1169,The Ultimate Hitchhiker's Guide to the Galaxy,3,1996,4.37
1169,"The High Window (Philip Marlowe, #3)",4,1942,4.08
1169,The Portrait of a Lady,3,1881,3.76
1169,"The Lord of the Rings (The Lord of the Rings, #1-3)",3,1955,4.47
1169,Heidi,5,1880,3.97
1169,Heretics of Dune (Dune Chronicles #5),3,1984,3.83
1169,Notes from a Small Island,4,1995,3.91
1169,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",5,1999,4.53
1169,The Mother Tongue: English and How It Got That Way,5,1990,3.95
2324,The Alchemist,4,1988,3.82
2324,Lysistrata,4,-411,3.84
2324,The Brooklyn Follies,4,2005,3.81
2324,Time Enough for Love,5,1973,3.96
2324,The Brethren,5,2000,3.71
2324,The Lord of the Rings: The Art of The Fellowship of the Ring,4,2002,4.59
2324,The Plot Against America,5,2004,3.71
2324,Perfume: The Story of a Murderer,3,1985,4
2324,"Twelve Sharp (Stephanie Plum, #12)",5,2006,4.14
2324,"The People of Sparks (Book of Ember, #2)",4,2004,3.65
2324,The Ultimate Hitchhiker's Guide to the Galaxy,5,1996,4.37
2324,Notes from a Small Island,5,1995,3.91
2324,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",5,1999,4.53
2324,"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)",5,2003,4.77
2324,"The Lord of the Rings (The Lord of the Rings, #1-3)",4,1955,4.47
2324,Hamlet,5,1600,4
2324,What to Expect the First Year (What to Expect),4,1989,3.86
2900,"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)",3,2003,4.77
2900,Getting Things Done: The Art of Stress-Free Productivity,3,2001,3.98
2900,Into the Wild,4,1996,3.94
2900,A Short History of Nearly Everything,5,2003,4.19
2900,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",3,1997,4.44
2900,Neither Here nor There: Travels in Europe,5,1991,3.88
2900,The Known World,4,2003,3.82
2900,In a Sunburned Country,5,2000,4.05
2900,The Automatic Millionaire: A Powerful One-Step Plan to Live and Finish Rich,4,2003,3.9
2900,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5,2005,4.54
2900,Heretics of Dune (Dune Chronicles #5),5,1984,3.83
2900,Leviathan,5,1992,3.95
2900,Heidi,4,1880,3.97
2900,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",5,1999,4.53
2900,Liar's Poker,3,1989,4.16
2900,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",4,2005,3.93
2900,The Lost Continent: Travels in Small Town America,4,1989,3.83
2900,Another Bullshit Night in Suck City,3,2004,3.77
3022,Deerskin,4,1993,3.88
3022,Neither Here nor There: Travels in Europe,4,1991,3.88
3022,A Man Without a Country,4,2005,4.07
3022,"The Oresteia  (Â¦Â¯Â¦Ã?Â¦ÃÂ¦ÃÂ¦ÃÂ¦ÃÂ¦Ã, #1-3)",4,-458,3.99
3022,Persuasion,3,1817,4.13
3022,"Hatchet (Brian's Saga, #1)",3,1986,3.68
3022,Libra,4,1988,3.98
3022,"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)",1,2003,4.77
3022,The Alchemist,3,1988,3.82
3022,Lunar Park,3,2005,3.6
3022,Travels with Charley: In Search of America,4,1962,4.07
3022,"Mostly Harmless (Hitchhiker's Guide to the Galaxy, #5)",4,1992,3.96
3022,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",4,2003,4.46
3022,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",4,2003,3.75
3022,Killing Yourself to Live: 85% of a True Story,3,2005,3.85
3022,The Histories,3,-440,3.97
3022,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",1,1999,4.53
3022,A Short History of Nearly Everything,4,2003,4.19
3739,The Odyssey,4,-720,3.73
3739,Heidi,4,1880,3.97
3739,The War of Art: Break Through the Blocks & Win Your Inner Creative Battles,4,2002,4.07
3739,The Westing Game,3,1978,4.03
3739,Daniel Deronda,5,1876,3.82
3739,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",5,1999,4.53
3739,The Design of Everyday Things,4,1988,4.18
3739,Notes from a Small Island,5,1995,3.91
3739,"The Lord of the Rings (The Lord of the Rings, #1-3)",4,1955,4.47
3739,"Hatchet (Brian's Saga, #1)",4,1986,3.68
3739,Leviathan,5,1992,3.95
3739,The Adventures of Sherlock Holmes,5,1892,4.29
3739,"Sherlock Holmes: The Complete Novels and Stories, Volume I",5,1927,4.45
3739,Stranger in a Strange Land,4,1961,3.91
3739,Corelli's Mandolin,5,1994,3.95
3922,The Ultimate Hitchhiker's Guide to the Galaxy,5,1996,4.37
3922,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",2,1999,4.53
3922,Notes from a Small Island,2,1995,3.91
3922,A Short History of Nearly Everything,5,2003,4.19
3922,The Lord of the Rings: Weapons and Warfare,5,,4.53
3922,I'm a Stranger Here Myself: Notes on Returning to America after Twenty Years Away,5,1998,3.89
3922,Liar's Poker,2,1989,4.16
3922,"Harry Potter Collection (Harry Potter, #1-6)",5,2005,4.73
3922,The Mother Tongue: English and How It Got That Way,5,1990,3.95
3922,Heidi,4,1880,3.97
3922,The Lost Continent: Travels in Small Town America,3,1989,3.83
3922,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",5,2003,4.46
3922,"The Da Vinci Code (Robert Langdon, #2)",5,2003,3.79
3922,"The Lord of the Rings (The Lord of the Rings, #1-3)",4,1955,4.47
3922,How to Win Friends and Influence People,4,1936,4.13
3922,Atlas Shrugged,4,1957,3.68
3922,Neither Here nor There: Travels in Europe,5,1991,3.88
3922,Heretics of Dune (Dune Chronicles #5),5,1984,3.83
3922,"The Power of One (The Power of One, #1)",4,1989,4.34
3922,What to Expect the First Year (What to Expect),4,1989,3.86
3922,Veronika Decides to Die,4,1998,3.69
3922,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",5,2005,4.54
3922,The Odyssey,4,-720,3.73
3922,The Known World,5,2003,3.82
4044,"The Da Vinci Code (Robert Langdon, #2)",3,2003,3.79
4044,Cryptonomicon,5,1999,4.25
4044,My Life in France,5,2006,4.16
4044,"The Confusion (The Baroque Cycle, #2)",5,2004,4.24
4044,Kurt Vonnegut's Cat's Cradle (Modern Critical Interpretations),5,2002,4.35
4044,Memoirs of a Geisha,4,1997,4.08
4044,How to Win Friends and Influence People,4,1936,4.13
4044,Think and Grow Rich: The Landmark Bestseller - Now Revised and Updated for the 21st Century,2,1937,4.17
4044,Into the Wild,5,1996,3.94
4044,"The Firm (Penguin Readers, Level 5)",5,1991,3.99
4044,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",5,2005,3.93
4044,The World Is Flat: A Brief History of the Twenty-first Century,3,2005,3.66
4044,"Little House in the Big Woods (Little House, #1)",5,1932,4.16
4044,Atlas Shrugged,5,1957,3.68
4044,"Ilium (Ilium, #1)",3,2003,4.01
5115,"The Lord of the Rings (The Lord of the Rings, #1-3)",3,1955,4.47
5115,The Plot Against America,3,2004,3.71
5115,The Design of Everyday Things,4,1988,4.18
5115,The Lord of the Rings: Weapons and Warfare,3,,4.53
5115,Slouching Towards Bethlehem,3,1968,4.24
5115,Gravity's Rainbow,2,1973,4.03
5115,The Ultimate Hitchhiker's Guide to the Galaxy,4,1996,4.37
5115,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",3,1999,4.53
5115,The Lord of the Rings: The Art of The Fellowship of the Ring,1,2002,4.59
5115,Blue Ocean Strategy: How To Create Uncontested Market Space And Make The Competition Irrelevant,4,2004,3.86
5115,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",4,2003,4.46
5115,"Harry Potter Collection (Harry Potter, #1-6)",4,2005,4.73
5115,A Tale of Two Cities,3,1859,3.81
5115,Code to Zero,4,2000,3.64
5115,"Little Women (Little Women, #1)",1,1868,4.04
5461,Heretics of Dune (Dune Chronicles #5),5,1984,3.83
5461,Another Bullshit Night in Suck City,5,2004,3.77
5461,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",5,1999,4.53
5461,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",2,1997,4.44
5461,The Automatic Millionaire: A Powerful One-Step Plan to Live and Finish Rich,4,2003,3.9
5461,"The Long Dark Tea-Time of the Soul (Dirk Gently, #2)",4,1988,4.05
5461,"The Lord of the Rings (The Lord of the Rings, #1-3)",4,1955,4.47
5461,Daniel Deronda,4,1876,3.82
5461,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",4,1979,4.2
5461,Notes from a Small Island,5,1995,3.91
5461,The Portrait of a Lady,5,1881,3.76
5461,I am Charlotte Simmons,4,2004,3.4
5461,"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)",4,2003,4.77
5461,A Fine Balance,4,1996,4.34
5461,Heidi,5,1880,3.97
5461,The Millionaire Next Door: The Surprising Secrets of Americas Wealthy,2,1995,4
