Rating,Expertise,Votes,Purpose
4,6,0,couple
5,5,0,friend
5,5,0,family
4,4,0,family
4,4,0,business
5,5,0,family
4,3,0,family
5,2,0,couple
5,0,0,couple
5,4,0,friend
4,4,0,couple
4,5,0,couple
4,4,1,business
1,4,0,couple
4,6,0,family
5,3,0,family
4,4,0,family
2,4,1,family
4,3,0,family
5,2,0,family
1,3,0,business
5,3,0,family
2,0,2,couple
4,6,0,family
2,0,0,family
5,3,0,family
5,1,0,family
5,0,0,friend
3,6,1,couple
4,3,0,solo
5,3,0,family
5,3,0,couple
3,5,0,solo
5,4,0,friend
2,3,1,Unknown
4,5,0,family
4,3,0,business
5,4,0,family
3,6,0,business
5,5,0,couple
5,3,0,family
5,1,0,business
4,6,1,solo
5,6,0,business
4,5,0,business
4,6,0,couple
2,2,0,business
5,0,0,couple
5,4,0,couple
4,6,0,business
4,6,0,friend
3,6,0,business
2,6,0,family
4,6,0,business
4,3,0,business
3,3,2,family
5,3,0,business
2,3,0,business
5,2,0,couple
4,3,0,friend
5,4,0,family
4,3,0,friend
5,2,0,friend
4,4,0,couple
3,0,0,business
3,6,0,business
4,4,0,business
5,0,0,couple
5,1,0,business
5,6,0,couple
2,3,0,business
2,5,0,business
5,5,0,couple
5,6,0,solo
4,0,0,business
5,5,0,solo
4,0,0,business
5,0,0,couple
3,5,1,business
4,2,0,couple
5,3,0,couple
1,1,0,business
4,5,0,business
5,6,0,Unknown
4,3,0,couple
5,0,0,business
5,6,0,friend
5,2,0,family
5,6,0,business
5,0,0,family
5,4,0,business
5,3,0,business
4,2,1,family
5,3,0,family
5,3,0,business
4,6,0,solo
4,4,0,couple
5,6,0,business
2,0,0,family
4,0,0,family
4,5,0,couple
3,6,0,business
5,0,0,friend
4,3,0,Unknown
2,6,0,business
5,5,0,family
5,3,0,family
4,0,0,business
3,5,0,family
4,2,2,family
5,3,0,friend
5,0,0,solo
4,6,0,friend
4,6,0,couple
4,4,0,couple
4,5,0,family
