user_id,treated,time_in_product,purchases,revenue,CTR,region,gender
1,A,0.787960457,0,3.738262649,No,A,F
2,A,2.116655211,2,18.97704638,Yes,B,M
3,A,0.279578691,4,23.06369263,No,C,F
4,A,0.210253862,0,7.167366725,Yes,B,M
5,A,1.062851015,1,6.828969472,No,A,M
6,A,0.326645489,1,9.516844551,Yes,B,M
7,A,0.210310371,3,18.07099337,No,B,F
8,A,0.427248127,2,13.27900363,No,D,F
9,A,0.942038108,2,17.14451837,No,C,M
10,A,0.267615394,3,17.67596601,Yes,C,M
11,A,0.098589559,4,11.06573193,No,B,M
12,A,0.032907188,3,9.125053009,No,B,F
13,A,0.833852168,3,12.2979606,No,D,M
14,A,0.879301364,0,9.960223454,No,D,F
15,A,0.212473438,3,-0.607122187,No,A,F
16,A,0.553469121,2,11.24551495,No,C,M
17,A,1.127770077,3,13.39997866,No,B,M
18,A,0.031081433,1,7.60297482,No,A,M
19,A,0.095549285,2,4.401938028,No,A,F
20,A,2.504291061,1,9.750559418,No,A,F
21,A,0.200995005,2,14.02819854,No,B,M
22,A,0.34758594,2,9.083170136,Yes,D,M
23,A,0.683328255,1,14.90391991,No,C,M
24,A,0.847050525,4,8.377056334,Yes,B,F
25,A,0.957286005,3,3.853352674,No,D,M
26,A,0.362258097,1,18.23628694,No,B,F
27,A,1.422898193,2,4.660127132,No,B,F
28,A,0.239698996,1,4.650793833,Yes,D,M
29,A,0.312474987,3,7.216888197,No,D,M
30,A,0.776248844,4,0.17672973,No,C,F
31,A,0.024938202,2,2.955290266,No,A,F
32,A,0.254407672,1,11.75591432,No,C,M
33,A,0.117700867,4,9.969747565,No,B,M
34,A,0.419452891,4,12.43702384,Yes,D,M
35,A,0.413393261,3,15.44354726,No,C,M
36,A,0.146581203,2,10.77829437,Yes,C,F
37,A,0.008817381,2,10.35511505,No,A,M
38,A,0.608978791,1,1.601889652,Yes,A,F
39,A,0.108324122,0,3.223017775,No,A,F
40,A,0.261871918,2,21.75859258,No,B,M
41,A,0.428401573,3,10.05702127,No,D,F
42,A,0.542025732,1,6.361769734,Yes,A,M
43,A,2.190816745,3,8.286945014,No,A,F
44,A,1.235231088,2,2.375514326,Yes,C,M
45,A,0.247013295,4,2.655171009,No,C,M
46,A,0.367737313,4,16.12987898,No,A,F
47,A,0.367784652,2,14.63287152,No,A,M
48,A,0.004708154,2,11.56949292,No,C,M
49,A,0.470567599,3,14.70239078,No,B,M
50,A,0.208666003,3,4.177598896,Yes,A,M
51,A,0.08454152,1,11.00039767,No,A,M
52,A,1.10250764,0,11.72647349,No,B,M
53,A,0.952950078,2,8.860831278,No,A,M
54,A,0.92429957,1,8.514219399,No,C,M
55,A,2.639096095,5,7.215222639,No,B,F
56,A,0.840394857,0,15.31768922,No,B,F
57,A,0.156833804,0,8.759683509,No,B,F
58,A,1.585989586,2,14.40796996,Yes,D,F
59,A,1.976058101,1,10.86652715,No,B,F
60,A,0.364118383,1,11.91088863,No,A,M
61,A,0.018412237,4,9.904815962,No,A,F
62,A,0.406529387,1,20.22155874,Yes,B,M
63,A,0.013868981,2,18.83896068,No,D,F
64,A,0.687099044,3,17.34224214,No,D,F
65,A,0.151113752,2,1.970653141,No,C,F
66,A,0.85545336,2,11.98488349,Yes,B,M
67,A,1.00385015,2,15.11602798,No,C,F
68,A,1.563326854,1,17.00646911,Yes,B,M
69,A,0.066962037,2,4.706129584,No,B,F
70,A,0.490485316,3,11.70531641,Yes,B,M
71,A,0.412706468,3,5.019457971,No,A,F
72,A,0.059692899,6,17.07925489,Yes,D,M
73,A,0.504692595,2,0.240563712,No,A,F
74,A,0.200747898,2,8.213824129,Yes,A,M
75,A,0.778042351,5,15.38024616,No,B,F
76,A,1.062180454,2,18.56358663,No,A,M
77,A,0.679366317,2,14.78001944,No,C,M
78,A,0.237595522,1,11.12281863,Yes,A,M
79,A,0.126614631,1,4.218577193,No,A,F
80,A,0.63090362,3,18.14983007,No,A,F
81,A,0.077336689,2,15.7058215,No,B,M
82,A,0.202972986,3,11.02111588,No,B,F
83,A,1.916887686,2,4.949197445,No,A,F
84,A,0.531303949,1,10.4637224,No,A,F
85,A,0.158482098,1,15.55148547,No,A,F
86,A,0.046502876,4,17.82427696,Yes,D,F
87,A,0.073351683,0,11.56090853,No,B,M
88,A,0.361372858,1,19.61298272,Yes,A,M
89,A,0.869223804,2,10.65355084,No,C,M
90,A,0.253997387,1,11.71723923,Yes,A,F
91,A,0.140729273,0,8.437135646,No,C,M
92,A,0.019367021,3,4.525507674,Yes,D,F
93,A,0.232042174,4,14.42825139,No,B,F
94,A,0.353734641,3,17.86922443,Yes,A,F
95,A,0.228835976,3,11.67573504,No,A,F
96,A,0.224733512,0,1.469153438,No,B,F
97,A,0.462654615,2,3.478686001,No,A,F
98,A,0.752884033,0,9.454650947,No,C,M
99,A,2.839243027,2,10.31870269,No,B,F
100,A,0.973287111,3,12.92377349,Yes,A,F
101,A,1.349246923,1,13.46940195,No,A,F
102,A,0.931817045,3,10.3652887,Yes,D,M
103,A,0.51435219,1,13.54598592,No,C,F
104,A,0.193097775,1,15.80546656,Yes,B,M
