"Choice","Age","Female","Income","Education","Job"
"CCB",62,0,7,2,"Industry"
"CCB",34,1,4,5,"Retired"
"CCB",68,0,5,2,"Industry"
"CCB",60,0,3,2,"Education"
"ICBC",18,0,6,2,"Industry"
"CCB",18,0,4,3,"Student"
"CCB",51,0,7,3,"Education"
"CCB",25,1,3,2,"Unemployed"
"BOC",42,1,4,4,"Education"
"CCB",71,1,5,3,"Service"
"BOC",23,0,4,5,"Student"
"BOC",30,0,2,5,"Retired"
"CCB",27,0,5,5,"Industry"
"BOC",27,0,3,5,"Service"
"BOC",57,0,1,3,"Education"
"BOC",60,0,5,5,"Student"
"CCB",51,0,6,4,"Education"
"CCB",56,1,5,4,"Service"
"CCB",30,1,5,1,"Education"
"BOC",48,1,1,4,"Education"
"BOC",27,1,5,2,"Unemployed"
"ICBC",47,0,3,1,"Service"
"CCB",46,0,6,1,"Unemployed"
"BOC",20,1,4,5,"Retired"
"CCB",24,0,7,3,"Industry"
"CCB",39,1,2,1,"Student"
"CCB",42,0,7,5,"Education"
"BOC",62,1,5,1,"Student"
"CCB",58,0,4,4,"Government"
"BOC",36,0,1,5,"Finance"
"CCB",18,1,3,4,"Government"
"CCB",33,0,7,4,"Education"
"BOC",54,0,3,4,"Education"
"BOC",72,0,2,4,"Unemployed"
"BOC",48,1,2,4,"Finance"
"BOC",21,1,4,4,"Government"
"CCB",67,0,6,3,"Unemployed"
"CCB",40,0,4,3,"Unemployed"
"BOC",21,1,4,5,"Education"
"BOC",69,1,1,2,"Unemployed"
"CCB",73,0,5,1,"Industry"
"BOC",32,0,3,3,"Industry"
"ICBC",44,0,3,1,"Government"
"ICBC",58,0,1,1,"Industry"
"CCB",35,0,3,2,"Service"
"CCB",18,0,1,5,"Finance"
"BOC",67,0,6,5,"Finance"
"BOC",60,1,5,5,"Student"
"BOC",73,1,3,5,"Unemployed"
"CCB",53,0,5,4,"Industry"
"BOC",67,0,4,3,"Service"
"CCB",27,0,1,2,"Service"
"BOC",35,1,4,3,"Unemployed"
"CCB",73,0,7,1,"Government"
"CCB",36,1,3,2,"Unemployed"
"BOC",52,0,2,5,"Unemployed"
"BOC",59,0,2,3,"Unemployed"
"CCB",57,1,5,3,"Service"
"CCB",45,0,5,4,"Service"
"BOC",67,0,5,5,"Government"
"ICBC",74,1,4,1,"Retired"
"CCB",57,1,6,2,"Unemployed"
"BOC",55,1,1,5,"Industry"
"BOC",23,0,7,5,"Industry"
"BOC",23,1,1,3,"Education"
"BOC",61,1,7,4,"Industry"
"CCB",50,1,7,3,"Education"
"BOC",61,1,5,5,"Student"
"CCB",63,0,5,5,"Finance"
"BOC",74,1,1,3,"Unemployed"
"BOC",21,0,1,4,"Retired"
"BOC",18,0,2,2,"Student"
"CCB",29,1,5,2,"Finance"
"CCB",38,0,5,1,"Government"
"CCB",69,1,2,2,"Finance"
"ABC",32,1,3,1,"Retired"
"CCB",75,1,5,4,"Unemployed"
"CCB",60,0,3,5,"Industry"
"BOC",39,1,1,1,"Unemployed"
"CCB",65,1,4,1,"Education"
"CCB",48,0,3,3,"Industry"
"CCB",21,0,6,5,"Education"
"BOC",52,1,5,4,"Finance"
"BOC",42,0,6,5,"Industry"
"CCB",44,0,6,2,"Unemployed"
"CCB",42,0,6,1,"Finance"
"CCB",71,1,7,5,"Education"
"ICBC",41,1,4,1,"Retired"
"ICBC",19,1,3,1,"Student"
"BOC",28,0,4,3,"Retired"
"BOC",64,1,5,1,"Unemployed"
"BOC",43,1,3,1,"Finance"
"CCB",68,0,7,3,"Unemployed"
"CCB",66,1,3,3,"Education"
"BOC",67,0,3,5,"Government"
"CCB",50,0,7,1,"Retired"
"CCB",55,0,2,1,"Education"
"CCB",33,1,5,3,"Retired"
"BOC",25,1,1,3,"Education"
"BOC",56,1,5,5,"Unemployed"
"BOC",39,1,5,4,"Government"
"CCB",29,1,6,1,"Education"
"BOC",39,1,4,1,"Student"
"BOC",30,1,5,4,"Student"
"ICBC",60,0,1,3,"Service"
"ICBC",61,1,7,1,"Service"
"BOC",75,1,2,5,"Student"
"BOC",45,0,6,5,"Retired"
"CCB",71,0,4,3,"Student"
"CCB",21,1,7,3,"Unemployed"
"BOC",22,1,6,1,"Industry"
"CCB",48,0,7,2,"Education"
"CCB",46,1,5,5,"Unemployed"
"BOC",58,0,1,3,"Unemployed"
"CCB",52,0,2,5,"Unemployed"
"BOC",68,1,2,5,"Government"
"CCB",27,1,5,3,"Government"
"BOC",64,0,2,4,"Finance"
"CCB",58,0,3,4,"Service"
"BOC",50,1,1,2,"Unemployed"
"BOC",34,1,7,5,"Retired"
"CCB",25,1,5,2,"Industry"
"BOC",34,1,2,4,"Unemployed"
"CCB",65,0,2,1,"Finance"
"CCB",45,0,3,1,"Service"
"CCB",24,0,4,1,"Student"
"ICBC",41,0,1,1,"Unemployed"
"BOC",31,0,3,5,"Education"
"CCB",72,0,1,4,"Unemployed"
"CCB",41,1,1,2,"Government"
"CCB",45,0,3,4,"Industry"
"BOC",31,0,4,3,"Retired"
"BOC",48,0,1,5,"Unemployed"
"CCB",22,0,4,5,"Education"
"BOC",40,0,1,2,"Government"
"CCB",25,0,1,1,"Education"
"ICBC",74,1,1,3,"Student"
"BOC",29,1,3,3,"Industry"
"CCB",75,0,6,2,"Service"
"CCB",60,0,1,2,"Government"
"CCB",39,0,4,2,"Retired"
"BOC",58,0,2,4,"Unemployed"
"BOC",25,1,1,5,"Unemployed"
"BOC",31,1,6,3,"Service"
"CCB",68,0,5,5,"Student"
"BOC",41,1,1,4,"Unemployed"
"CCB",34,1,5,2,"Unemployed"
"BOC",47,0,2,4,"Student"
"BOC",66,1,4,4,"Student"
"BOC",61,1,5,4,"Retired"
"CCB",42,0,5,3,"Unemployed"
"CCB",53,1,5,5,"Finance"
"CCB",29,1,4,1,"Education"
"BOC",68,0,2,5,"Finance"
"CCB",75,0,2,2,"Government"
"BOC",70,0,4,4,"Unemployed"
"CCB",20,0,2,4,"Retired"
"CCB",51,0,4,3,"Government"
"BOC",21,0,7,5,"Finance"
"BOC",50,1,7,5,"Service"
"CCB",57,1,5,5,"Finance"
"BOC",64,0,3,4,"Unemployed"
"CCB",39,1,1,4,"Education"
"CCB",53,1,6,5,"Student"
"CCB",55,1,7,1,"Student"
"BOC",45,0,5,3,"Retired"
"CCB",37,1,4,1,"Service"
"CCB",75,0,4,5,"Retired"
"ICBC",72,1,4,1,"Retired"
"BOC",71,1,6,1,"Student"
"CCB",26,1,6,2,"Unemployed"
"BOC",70,0,2,2,"Finance"
"BOC",19,1,6,5,"Industry"
"BOC",61,1,5,3,"Finance"
"BOC",48,1,3,1,"Unemployed"
"ICBC",71,0,4,4,"Finance"
"CCB",56,1,3,5,"Education"
"ICBC",23,1,7,2,"Finance"
"CCB",60,0,4,4,"Service"
"CCB",42,1,6,1,"Finance"
"BOC",45,0,2,4,"Education"
"CCB",20,0,6,4,"Student"
"CCB",45,0,7,4,"Finance"
"BOC",19,1,1,2,"Retired"
"CCB",37,0,6,3,"Service"
"CCB",19,0,6,2,"Service"
"CCB",49,1,5,3,"Unemployed"
"ICBC",60,1,1,4,"Service"
"BOC",29,0,6,4,"Service"
"ICBC",22,1,4,1,"Service"
"BOC",19,1,7,3,"Unemployed"
"BOC",30,0,1,3,"Student"
"BOC",50,1,4,4,"Unemployed"
"CCB",51,0,7,4,"Education"
"BOC",68,1,4,5,"Finance"
"CCB",22,1,5,5,"Student"
"CCB",63,1,6,1,"Retired"
"CCB",61,0,7,5,"Unemployed"
"BOC",62,0,1,2,"Education"
"CCB",41,0,6,2,"Student"
"CCB",75,0,1,2,"Service"
"ICBC",58,1,3,3,"Unemployed"
"BOC",46,0,7,5,"Student"
"BOC",23,1,2,5,"Unemployed"
"CCB",60,0,3,3,"Unemployed"
"CCB",61,0,1,5,"Finance"
"CCB",27,0,2,3,"Government"
"BOC",23,1,2,4,"Education"
"ICBC",60,1,4,4,"Government"
"CCB",18,0,1,1,"Unemployed"
"CCB",35,1,7,2,"Service"
"CCB",33,0,5,3,"Industry"
"CCB",32,0,6,2,"Service"
"CCB",37,0,4,1,"Government"
"BOC",69,0,2,5,"Student"
"ICBC",61,1,2,2,"Student"
"BOC",39,1,4,2,"Finance"
"ICBC",24,1,2,1,"Service"
"CCB",23,0,6,4,"Student"
"CCB",46,0,4,3,"Finance"
"BOC",30,0,4,4,"Finance"
"CCB",61,0,6,4,"Unemployed"
"CCB",52,1,4,2,"Education"
"CCB",72,1,7,4,"Government"
"BOC",68,1,2,5,"Education"
"ABC",37,0,2,2,"Retired"
"ABC",49,0,3,1,"Service"
"CCB",70,1,5,3,"Service"
"CCB",74,0,6,4,"Student"
"CCB",20,0,6,5,"Government"
"BOC",48,0,3,3,"Industry"
"CCB",67,0,5,4,"Unemployed"
"BOC",69,1,3,5,"Retired"
"CCB",20,1,7,4,"Service"
"BOC",21,1,5,2,"Industry"
"CCB",74,1,7,1,"Government"
"BOC",57,0,7,3,"Student"
"CCB",52,1,6,1,"Finance"
"CCB",44,1,2,1,"Government"
"CCB",59,0,1,3,"Education"
"CCB",21,0,6,2,"Student"
"CCB",42,1,6,4,"Student"
"CCB",24,0,7,1,"Student"
"CCB",62,0,5,5,"Finance"
"BOC",42,1,1,1,"Retired"
"CCB",22,0,4,2,"Government"
"BOC",51,1,2,4,"Student"
"CCB",50,1,7,1,"Industry"
"CCB",22,1,1,3,"Education"
"CCB",26,0,3,1,"Unemployed"
"BOC",30,1,2,4,"Finance"
"BOC",30,1,4,3,"Industry"
"BOC",40,0,1,4,"Finance"
"BOC",21,1,4,5,"Education"
"CCB",21,1,1,4,"Education"
"BOC",30,1,1,5,"Education"
"CCB",61,1,4,2,"Unemployed"
"BOC",35,1,2,1,"Government"
"CCB",43,0,2,2,"Education"
"CCB",34,0,7,1,"Retired"
"ICBC",33,0,4,2,"Retired"
"BOC",42,0,1,5,"Finance"
"BOC",37,0,2,5,"Unemployed"
"BOC",37,0,4,4,"Service"
"CCB",54,0,7,5,"Education"
"CCB",32,0,6,3,"Retired"
"CCB",37,0,5,4,"Student"
"BOC",42,1,3,3,"Unemployed"
"ICBC",45,1,2,1,"Industry"
"BOC",20,1,1,5,"Unemployed"
"CCB",51,1,4,2,"Government"
"CCB",47,1,4,3,"Finance"
"CCB",59,1,4,2,"Industry"
"CCB",60,0,5,1,"Education"
"CCB",59,0,3,3,"Service"
"CCB",39,0,3,3,"Finance"
"BOC",38,1,1,5,"Unemployed"
"ICBC",69,1,1,4,"Industry"
"CCB",21,0,3,4,"Government"
"BOC",22,0,5,3,"Unemployed"
"CCB",64,1,5,5,"Service"
"CCB",33,0,3,5,"Finance"
"CCB",41,0,7,1,"Student"
"BOC",43,1,7,4,"Student"
"BOC",73,0,1,4,"Student"
"BOC",35,1,5,5,"Finance"
"BOC",38,1,1,1,"Service"
"BOC",69,1,1,3,"Unemployed"
"CCB",51,0,6,1,"Education"
"CCB",20,1,3,5,"Finance"
"BOC",47,0,1,3,"Service"
"ICBC",35,1,2,3,"Finance"
"BOC",72,1,5,5,"Finance"
"CCB",21,0,1,3,"Unemployed"
"BOC",63,0,2,4,"Service"
"BOC",59,0,3,5,"Industry"
"BOC",68,1,5,1,"Service"
"BOC",71,1,1,3,"Unemployed"
"ICBC",36,0,4,3,"Retired"
"BOC",39,0,4,3,"Government"
"CCB",20,1,1,5,"Government"
"CCB",46,1,7,4,"Government"
"CCB",71,1,3,5,"Industry"
"BOC",42,1,3,2,"Finance"
"CCB",52,0,2,2,"Education"
"CCB",40,0,2,4,"Industry"
"BOC",45,1,4,3,"Industry"
"BOC",44,1,1,4,"Student"
"ABC",65,0,1,1,"Retired"
"BOC",47,1,6,4,"Government"
"BOC",56,1,2,5,"Finance"
"CCB",64,1,7,1,"Retired"
"ICBC",49,1,6,1,"Unemployed"
"BOC",45,1,4,5,"Finance"
"BOC",26,1,6,5,"Student"
"BOC",52,1,7,1,"Government"
"ICBC",24,0,2,1,"Industry"
"CCB",57,1,1,4,"Student"
"CCB",35,1,6,2,"Unemployed"
"CCB",30,0,4,4,"Industry"
"CCB",69,1,6,1,"Finance"
"BOC",44,0,2,4,"Unemployed"
"CCB",65,0,6,5,"Industry"
"CCB",34,0,7,1,"Finance"
"ICBC",43,0,5,3,"Government"
"BOC",65,0,6,4,"Unemployed"
"CCB",69,1,4,2,"Education"
"CCB",46,1,5,4,"Government"
"ICBC",22,0,6,2,"Industry"
"BOC",53,0,4,4,"Student"
"CCB",41,0,1,5,"Industry"
"CCB",58,0,4,4,"Government"
"ICBC",66,0,1,1,"Retired"
"BOC",21,0,1,1,"Unemployed"
"ICBC",66,1,1,3,"Student"
"CCB",36,0,5,4,"Unemployed"
"BOC",44,0,1,2,"Unemployed"
"ICBC",62,1,4,1,"Unemployed"
"CCB",36,1,1,2,"Student"
"CCB",61,0,7,3,"Service"
"BOC",35,1,5,4,"Unemployed"
"CCB",33,0,7,1,"Education"
"CCB",54,0,7,1,"Industry"
"CCB",41,1,1,2,"Education"
"CCB",64,0,2,5,"Student"
"CCB",72,1,1,1,"Education"
"CCB",47,0,5,3,"Government"
"CCB",48,1,6,1,"Student"
"BOC",47,0,5,4,"Student"
"BOC",30,1,6,2,"Finance"
"CCB",60,0,4,1,"Unemployed"
"CCB",31,0,7,2,"Government"
"BOC",64,0,2,5,"Industry"
"CCB",33,0,6,2,"Unemployed"
"BOC",39,0,1,3,"Industry"
"CCB",43,1,2,2,"Government"
"CCB",56,1,7,4,"Service"
"BOC",49,0,7,5,"Retired"
"BOC",71,1,2,1,"Education"
"CCB",46,1,6,1,"Retired"
"CCB",61,1,5,3,"Industry"
"CCB",21,1,2,4,"Education"
"CCB",67,1,5,2,"Government"
"BOC",57,1,1,3,"Student"
"BOC",20,1,3,4,"Industry"
"BOC",20,0,7,3,"Industry"
"BOC",53,0,5,1,"Industry"
"BOC",26,0,4,3,"Unemployed"
"CCB",18,0,5,1,"Government"
"CCB",60,0,7,2,"Education"
"BOC",46,0,7,4,"Government"
"BOC",47,1,3,4,"Retired"
"CCB",47,0,6,2,"Education"
"CCB",47,0,4,2,"Industry"
"BOC",20,1,2,3,"Student"
"CCB",22,1,7,2,"Service"
"CCB",64,0,4,3,"Service"
"CCB",53,0,4,2,"Education"
"CCB",44,1,7,1,"Education"
"BOC",67,0,1,3,"Service"
"ICBC",42,1,2,2,"Service"
"BOC",24,0,3,2,"Unemployed"
"CCB",37,0,6,3,"Service"
"CCB",33,0,3,5,"Government"
"ICBC",53,0,4,2,"Government"
"CCB",36,1,1,4,"Education"
"CCB",28,0,1,3,"Service"
"ICBC",25,1,3,1,"Retired"
"BOC",22,1,5,5,"Retired"
"ICBC",47,0,7,5,"Industry"
"CCB",29,0,1,3,"Education"
"BOC",26,0,3,4,"Retired"
"CCB",42,0,5,1,"Industry"
"ICBC",30,0,2,2,"Industry"
"CCB",26,1,7,1,"Finance"
"BOC",25,1,4,4,"Retired"
"CCB",41,0,7,5,"Student"
"ICBC",26,1,2,2,"Industry"
"ICBC",25,0,1,1,"Unemployed"
"CCB",44,1,2,3,"Student"
"ICBC",57,1,1,5,"Service"
"CCB",65,0,3,2,"Student"
"BOC",35,1,5,5,"Student"
"ABC",52,0,1,1,"Retired"
"CCB",44,0,4,3,"Retired"
"BOC",37,1,5,5,"Unemployed"
"ICBC",70,0,6,2,"Service"
"CCB",56,0,4,2,"Student"
"BOC",62,0,6,5,"Student"
"CCB",59,0,4,5,"Student"
"CCB",36,1,7,4,"Finance"
"CCB",30,0,7,2,"Retired"
"CCB",69,1,7,1,"Education"
"ICBC",74,0,2,4,"Industry"
"CCB",38,0,4,1,"Education"
"CCB",55,1,4,4,"Student"
"CCB",32,0,2,1,"Unemployed"
"CCB",53,0,1,2,"Industry"
"CCB",58,1,2,5,"Finance"
"CCB",62,0,2,3,"Industry"
"BOC",20,1,2,4,"Service"
"CCB",33,1,6,1,"Unemployed"
"BOC",48,0,1,3,"Service"
