age,job,previous,success
44,blue-collar,0,0
53,technician,0,0
28,management,2,1
39,services,0,0
55,retired,1,1
30,management,0,0
37,blue-collar,0,0
39,blue-collar,0,0
36,admin.,1,1
27,blue-collar,1,0
34,housemaid,0,0
41,management,0,0
55,management,0,1
33,services,0,0
26,admin.,0,0
52,services,0,0
35,services,0,1
27,admin.,0,1
28,blue-collar,0,0
26,unemployed,0,0
41,unemployed,1,0
35,blue-collar,0,0
40,admin.,0,0
32,technician,0,0
41,blue-collar,0,0
34,entrepreneur,0,0
49,technician,0,0
37,admin.,1,0
35,blue-collar,0,0
38,blue-collar,0,0
47,services,0,0
46,admin.,0,0
27,technician,0,0
29,technician,0,1
32,services,0,0
36,blue-collar,2,0
29,blue-collar,0,0
47,technician,1,0
44,blue-collar,0,0
54,management,0,0
36,blue-collar,0,0
42,blue-collar,0,0
44,blue-collar,0,0
72,retired,0,1
48,blue-collar,0,0
36,management,0,0
35,housemaid,0,0
43,entrepreneur,1,0
56,retired,0,0
42,blue-collar,0,0
31,admin.,0,0
32,technician,0,0
33,blue-collar,1,0
31,blue-collar,0,0
39,management,0,0
30,blue-collar,0,0
24,management,1,0
24,admin.,0,0
38,blue-collar,0,0
26,blue-collar,0,0
41,technician,0,0
34,admin.,0,0
30,management,0,1
37,admin.,0,0
68,retired,0,0
31,admin.,0,0
48,technician,0,0
33,technician,0,0
59,self-employed,0,0
44,blue-collar,0,0
28,unknown,0,0
50,management,1,0
33,entrepreneur,0,0
45,services,0,0
40,management,0,0
45,services,0,0
43,technician,0,0
54,blue-collar,0,0
53,technician,0,0
35,self-employed,0,0
30,technician,0,0
25,technician,0,0
35,services,0,0
54,admin.,0,1
30,blue-collar,0,0
38,admin.,0,0
35,admin.,1,0
47,blue-collar,0,0
32,blue-collar,0,0
27,blue-collar,0,0
40,blue-collar,0,1
31,admin.,0,0
42,blue-collar,0,0
40,blue-collar,0,0
31,admin.,0,0
57,technician,0,0
38,admin.,1,1
39,services,0,0
37,admin.,0,0
50,unemployed,0,0
33,blue-collar,0,1
41,blue-collar,0,0
37,entrepreneur,0,0
25,student,0,0
35,admin.,0,0
46,management,0,1
29,admin.,0,0
35,admin.,0,0
48,entrepreneur,0,0
31,self-employed,0,0
33,blue-collar,1,0
63,retired,1,0
38,admin.,0,0
34,admin.,3,0
34,services,0,0
47,management,3,0
27,blue-collar,0,0
24,admin.,2,1
36,blue-collar,0,0
29,services,0,0
58,retired,0,0
40,technician,0,0
31,admin.,0,0
60,retired,0,0
58,housemaid,0,0
32,blue-collar,0,0
54,admin.,0,0
43,technician,0,0
48,retired,0,0
33,admin.,0,0
37,blue-collar,0,0
35,services,0,0
34,services,0,0
30,technician,0,0
38,admin.,0,0
29,technician,1,0
49,entrepreneur,0,0
48,management,0,0
33,management,0,0
33,admin.,0,0
42,management,0,0
39,admin.,0,0
55,entrepreneur,0,0
46,management,0,0
55,blue-collar,0,0
42,entrepreneur,1,0
24,student,1,0
49,blue-collar,0,0
38,admin.,0,0
34,admin.,0,0
46,blue-collar,0,0
45,technician,0,0
40,admin.,0,0
46,admin.,0,0
31,blue-collar,0,0
57,self-employed,0,0
36,admin.,0,0
50,technician,1,0
32,admin.,0,0
38,admin.,0,0
50,admin.,1,0
42,blue-collar,0,0
31,technician,0,0
27,unemployed,0,0
44,self-employed,0,0
26,housemaid,0,0
30,blue-collar,0,0
39,self-employed,0,0
64,retired,0,1
36,management,4,1
42,blue-collar,0,0
42,services,0,0
40,admin.,0,0
34,services,1,0
31,blue-collar,0,0
49,admin.,0,0
35,unemployed,0,0
60,admin.,0,0
38,admin.,0,0
32,management,1,0
50,self-employed,1,1
41,admin.,0,1
45,admin.,0,0
46,blue-collar,0,0
55,unknown,0,0
33,technician,0,0
45,blue-collar,0,0
29,blue-collar,0,0
42,technician,0,0
39,housemaid,0,0
58,blue-collar,0,0
32,management,0,0
44,technician,1,0
49,self-employed,0,0
29,blue-collar,0,0
51,management,0,0
36,admin.,0,0
23,management,0,1
31,management,0,0
32,technician,0,0
58,self-employed,0,0
31,services,0,0
32,blue-collar,0,0
43,unemployed,2,0
48,admin.,0,0
28,admin.,0,0
52,services,0,0
36,management,0,0
39,admin.,0,0
39,blue-collar,0,0
50,management,1,0
29,admin.,0,0
49,technician,0,0
36,blue-collar,0,0
