id,interest,downpayment,rebate,speed,choice
1,3.75,40,0.15,0.5,0
1,4,25,0.15,1,0
1,3.75,25,0,1,1
2,3.5,20,0.1,0.5,1
2,3.75,25,0.3,1.5,0
2,3.75,20,0.3,1,0
3,3.75,20,0,1.5,0
3,3.75,25,0.3,0.5,1
3,3.75,40,0.15,1,0
4,3.75,40,0.15,0.5,0
4,3.5,25,0,1.5,1
4,3.75,20,0.3,1.5,0
5,3.75,40,0.1,1,0
5,4,40,0.3,1,0
5,3.75,30,0.15,0.5,1
6,3.5,30,0.1,0.5,0
6,3.75,25,0.15,0.5,1
6,3.75,25,0.1,0.5,0
7,3.75,40,0,0.5,0
7,3.75,30,0.1,0.5,0
7,3.75,30,0.1,1.5,1
8,3.5,30,0.3,1,0
8,3.5,30,0.15,1,0
8,3.75,30,0.1,1.5,1
9,3.5,40,0.3,1.5,0
9,4,25,0.3,1.5,1
9,3.75,40,0.3,1,0
10,3.75,20,0.15,0.5,0
10,3.5,25,0.1,1.5,0
10,3.75,30,0.3,1.5,1
11,3.5,30,0.15,0.5,0
11,4,25,0,0.5,0
11,3.75,40,0,0.5,1
12,3.75,25,0.1,1,1
12,3.75,20,0,1.5,0
12,3.75,30,0.3,1,0
13,3.75,30,0.3,0.5,0
13,4,25,0.3,1,1
13,3.75,30,0.15,1.5,0
14,4,25,0.1,0.5,1
14,4,40,0,0.5,0
14,3.75,25,0.1,1.5,0
15,3.75,20,0.15,0.5,0
15,3.5,30,0,1,0
15,3.75,20,0.15,1.5,1
16,3.5,25,0.15,1.5,1
16,4,30,0.3,0.5,0
16,3.75,30,0.3,1.5,0
17,3.5,25,0.1,1,0
17,3.75,20,0.15,1,0
17,3.75,25,0,0.5,1
18,3.75,25,0.1,1.5,1
18,3.5,25,0.3,0.5,0
18,3.75,20,0.3,1,0
19,3.75,20,0.3,1,1
19,4,40,0,0.5,0
19,3.75,30,0.15,1.5,0
20,4,30,0,1.5,0
20,4,30,0.15,1.5,1
20,3.75,20,0.1,1.5,0
